Timeline,Start time,Duration,Row,Instance number,1st Phase Pass,1st Phase Receiver,2nd Phase Pass,2nd Phase Receiver,Deflection Success,Feed Location,Feed Success,Gains / Turnover Reason,Penalty Reason,Player,Quarter,Shooter Position,Shot Location,Shot Outcome,Turnover Location,Ungrouped,Notes,Flags
SGPvsSwans_final_20260711,1867.4461211295531,40.906320418005635,SGP CPA,22,Center Right Defense,GD,Center Right Attack,C,,"Circle Edge, Circle Edge","NO, YES",,,,"Q2, Q2, Q2, Q2, Q2, Q2, Q2, Q2","GS, GA","Inner Right, Inner Middle","SGP Miss, SGP Goal",,,,
SGPvsSwans_final_20260711,1927.3463932195527,22.705993335995117,SGP CPA,23,Center Left Attack,GA,,Not Taken,,Circle Edge,YES,,,,"Q2, Q2, Q2, Q2, Q2",GS,Inner Left,SGP Goal,,,,
SGPvsSwans_final_20260711,2029.3472875685582,53.70494421,SGP CPA,24,Center Right Attack,WA,,Not Taken,,"Outside Circle, Circle Edge","YES, YES",,,,"Q2, Q2, Q2, Q2, Q2, Q2, Q2, Q2, Q2","GA, GS","Outer Right, Inner Right","SGP Miss, OPP Goal",,,,
SGPvsSwans_final_20260711,2097.543831310556,22.807126413002607,SGP CPA,25,Center Right Defense,WD,Center Left Defense,C,,Circle Edge,YES,,,,"Q2, Q2, Q2, Q2",GS,Inner Middle,OPP Goal,,,,
SGPvsSwans_final_20260711,2537.447214128562,40.304484021006374,SGP CPA,26,Center Mid Attack,GA,,Not Taken,,Circle Edge,YES,,,,"Q3, Q3, Q3, Q3, Q3, Q3",GS,Inner Left,OPP Goal,,,,
SGPvsSwans_final_20260711,2678.046582957556,32.40538271300284,SGP CPA,27,,Not Taken,,,,"Circle Edge, Circle Edge, Inside Circle","NO, YES, YES",,,,"Q3, Q3, Q3, Q3, Q3, Q3, Q3, Q3",GS,Inner Right,OPP Goal,,,,
SGPvsSwans_final_20260711,2739.651277761554,19.999105239010987,SGP CPA,28,Center Mid Defense,WD,Center Mid Attack,GA,,Circle Edge,YES,,,,"Q3, Q3, Q3",GA,Inner Right,SGP Goal,,,,
SGPvsSwans_final_20260711,2786.7466751095662,29.90408005298832,SGP CPA,29,Center Right Attack,WD,Attacking Right Pocket,GA,,"Circle Edge, Circle Edge","NO, YES",,,,"Q3, Q3, Q3, Q3, Q3",GS,Inner Middle,OPP Goal,,,,
SGPvsSwans_final_20260711,2856.952029832554,32.20038728901227,SGP CPA,30,Center Mid Attack,GA,Center Left Attack,WD,,Circle Edge,YES,,,,"Q3, Q3, Q3, Q3",GS,Inner Right,OPP Goal,,,,
SGPvsSwans_final_20260711,2904.950412062556,126.70161339399874,SGP CPA,31,,Not Taken,,,,"Circle Edge, Inside Circle, Circle Edge, Circle Edge, Circle Edge, Inside Circle","YES, YES, NO, YES, YES, YES",,,,"Q3, Q3, Q3, Q3, Q3, Q3, Q3, Q3, Q3, Q3, Q3, Q3, Q3, Q3, Q3, Q3, Q3, Q3, Q3, Q3","GS, GS, GS","Inner Right, Inner Middle, Inner Middle","SGP Miss, OPP Miss, OPP Goal",,,,
SGPvsSwans_final_20260711,3053.3489863715663,28.302074861991514,SGP CPA,32,Center Mid Attack,GA,Center Mid Attack,C,,"Circle Edge, Circle Edge","NO, YES",,,,"Q3, Q3, Q3, Q3, Q3, Q3",GS,Inner Middle,SGP Goal,,,,
SGPvsSwans_final_20260711,3096.4441651175516,58.10330994699734,SGP CPA,33,Center Right Attack,GA,,Not Taken,,"Circle Edge, Circle Edge","NO, YES",,,,"Q3, Q3, Q3, Q3, Q3, Q3, Q3",GA,Outer Right,SGP Goal,Attacking Left Pocket,,,
SGPvsSwans_final_20260711,3215.3468190975614,48.00521035399879,SGP CPA,34,Center Mid Attack,GA,,Not Taken,,Circle Edge,YES,,,,"Q3, Q3, Q3, Q3, Q3",GS,Inner Left,OPP Goal,,,,
SGPvsSwans_final_20260711,3278.1457050555696,15.505115896988173,SGP CPA,35,,Not Taken,,,,Outside Circle,YES,,,,"Q3, Q3, Q3, Q3",GS,Inner Left,OPP Goal,,,,
SGPvsSwans_final_20260711,3314.740220285554,23.809495650006284,SGP CPA,36,,Not Taken,,,,,,,,,"Q3, Q3, Q3",GA,Outer Right,SGP Goal,,,,
SGPvsSwans_final_20260711,3365.3468584375614,31.704710882993368,SGP CPA,37,Center Left Attack,WA,Attacking Left,C,,"Circle Edge, Circle Edge","YES, YES",,,,"Q3, Q3, Q3, Q3, Q3, Q3, Q3","GS, GA","Inner Left, Inner Middle","SGP Miss, SGP Goal",,,,
SGPvsSwans_final_20260711,3415.740862,63.41061255299019,SGP CPA,38,Center Left Attack,GA,Attacking Left Pocket,WA,,"Circle Edge, Circle Edge","YES, YES",,,,"Q3, Q3, Q3, Q3, Q3, Q3, Q3, Q3, Q3","GA, GA","Inner Left, Outer Right","SGP Miss, SGP Miss",,,,
SGPvsSwans_final_20260711,3772.3465420725615,27.204828287000964,SGP CPA,39,Center Left Attack,WA,Center Mid Attack,WD,,Circle Edge,YES,,,,"Q4, Q4, Q4, Q4",GS,Inner Right,OPP Goal,,,,
SGPvsSwans_final_20260711,3906.146637607561,146.40479302599852,SGP CPA,40,Center Mid Attack,GA,,Not Taken,,"Circle Edge, Circle Edge, Inside Circle, Outside Circle, Circle Edge, Inside Circle, Circle Edge","YES, YES, NO, YES, YES, NO, YES",,,,"Q4, Q4, Q4, Q4, Q4, Q4, Q4, Q4, Q4, Q4, Q4, Q4, Q4, Q4, Q4, Q4, Q4, Q4, Q4, Q4, Q4","GS, GS","Inner Left, Inner Right","SGP Miss, OPP Goal",,,,
SGPvsSwans_final_20260711,4147.946642922558,23.904680327996175,SGP CPA,41,Center Left Attack,GA,,Not Taken,,"Circle Edge, Inside Circle","YES, YES",,,,"Q4, Q4, Q4, Q4, Q4",GA,Inner Left,SGP Goal,,,,
SGPvsSwans_final_20260711,4217.1466488905535,60.604417156001546,SGP CPA,42,Center Mid Attack,WA,Attacking Right,GS,,"Circle Edge, Circle Edge, Inside Circle","NO, YES, YES",,,,"Q4, Q4, Q4, Q4, Q4, Q4, Q4, Q4",GS,Inner Middle,SGP Goal,,,,
SGPvsSwans_final_20260711,4308.75018,31.49451766299353,SGP CPA,43,Center Right Attack,WA,Center Right Attack,WD,,"Circle Edge, Circle Edge","YES, YES",,,,"Q4, Q4, Q4, Q4, Q4, Q4, Q4",GS,Inner Left,SGP Goal,,,,
SGPvsSwans_final_20260711,4396.0470838135625,40.90498710299653,SGP CPA,44,,Not Taken,,,,Circle Edge,YES,,,,"Q4, Q4, Q4, Q4, Q4, Q4, Q4",GA,Inner Left,SGP Goal,,,,
SGPvsSwans_final_20260711,4494.647905795556,31.804126356995766,SGP CPA,45,,Not Taken,,,,"Circle Edge, Circle Edge","YES, YES",,,,"Q4, Q4, Q4, Q4, Q4, Q4, Q4",GS,Outer Middle,SGP Goal,,,,
SGPvsSwans_final_20260711,4554.346832624552,47.40590994100148,SGP CPA,46,,Not Taken,,,,Outside Circle,YES,,,,"Q4, Q4, Q4, Q4, Q4, Q4, Q4, Q4","GA, GS","Outer Right, Inner Left","SGP Miss, OPP Goal",,,,
SGPvsSwans_final_20260711,4614.744153770566,17.707481769994956,SGP CPA,47,Center Mid Attack,GA,,Not Taken,,Circle Edge,YES,,,,"Q4, Q4, Q4, Q4",GA,Outer Left,SGP Goal,,,,
SGPvsSwans_final_20260711,45.048255555555556,27.29705184700626,SGP DCPA,1,,,,,,"Outside Circle, Circle Edge, Inside Circle","YES, YES, YES",,,,"Q1, Q1, Q1, Q1, Q1, Q1","GS, GA","Inner Right, Inner Left","SGP Miss, SGP Miss",,,,
SGPvsSwans_final_20260711,136.94926549955466,41.61483723400664,SGP DCPA,2,,,,,,"Circle Edge, Circle Edge, Outside Circle","YES, NO, YES",,,,"Q1, Q1, Q1, Q1, Q1, Q1, Q1, Q1",GA,Inner Right,SGP Goal,,,,
SGPvsSwans_final_20260711,204.5468803,24.09796989700436,SGP DCPA,3,,,,,,"Circle Edge, Circle Edge, Inside Circle","YES, YES, YES",,,,"Q1, Q1, Q1, Q1, Q1, Q1",GS,Inner Left,SGP Miss,,,,
SGPvsSwans_final_20260711,280.74395772354933,21.89706067600605,SGP DCPA,4,,,,,,Circle Edge,YES,,,,"Q1, Q1, Q1",GS,Inner Middle,SGP Miss,,,,
SGPvsSwans_final_20260711,350.1480151985598,22.400048400007677,SGP DCPA,5,,,,,,"Circle Edge, Circle Edge","YES, YES",,,,"Q1, Q1, Q1, Q1",GS,Inner Right,SGP Goal,,,,
SGPvsSwans_final_20260711,404.1491443,22.10240086899597,SGP DCPA,6,,,,,,"Circle Edge, Circle Edge","YES, YES",,,,"Q1, Q1, Q1, Q1",GA,Outer Middle,SGP Goal,,,,
SGPvsSwans_final_20260711,448.74606260155065,18.200306556001976,SGP DCPA,7,,,,,,Outside Circle,NO,,,,"Q1, Q1",,,,,,,
SGPvsSwans_final_20260711,509.0492329555562,25.39881779,SGP DCPA,8,,,,,,"Outside Circle, Inside Circle","YES, NO",,,,"Q1, Q1, Q1, Q1",GA,Outer Right,SGP Miss,,,,
SGPvsSwans_final_20260711,601.3732666666667,26.339599999999905,SGP DCPA,9,,Not Taken,,,,"Outside Circle, Circle Edge","YES, YES",,,Charlotte Lee,"Q1, Q1, Q1, Q1, Q1",GA,Outer Middle,SGP Miss,,,,
SGPvsSwans_final_20260711,690.8457671225634,45.405458806005186,SGP DCPA,10,,,,,,"Outside Circle, Circle Edge, Circle Edge, Circle Edge","NO, NO, YES, YES",,,,"Q1, Q1, Q1, Q1, Q1, Q1, Q1","GA, GA","Inner Right, Inner Right","SGP Miss, SGP Goal",,,,
SGPvsSwans_final_20260711,802.1445066735582,19.208779378005374,SGP DCPA,11,,,,,,Circle Edge,YES,,,,"Q1, Q1, Q1",GS,Inner Right,SGP Goal,,,,
SGPvsSwans_final_20260711,844.2473918435604,32.10361364000062,SGP DCPA,12,,,,,,"Outside Circle, Circle Edge","NO, YES",,,,"Q1, Q1, Q1, Q1, Q1, Q1",GS,Inner Left,SGP Goal,,,,
SGPvsSwans_final_20260711,903.1513563495527,16.395716992004395,SGP DCPA,13,,,,,,"Outside Circle, Inside Circle","YES, NO",,,,"Q1, Q1, Q1, Q1",GA,Outer Right,SGP Miss,,,,
SGPvsSwans_final_20260711,1224.5415269955608,28.306186603005017,SGP DCPA,14,,,,,,Circle Edge,YES,,,,"Q2, Q2, Q2, Q2",GS,Inner Right,SGP Miss,,,,
SGPvsSwans_final_20260711,1339.7436646495478,30.40349110201919,SGP DCPA,15,,,,,,Outside Circle,YES,,,,"Q2, Q2, Q2",GS,Inner Middle,SGP Miss,,,,
SGPvsSwans_final_20260711,1456.647095303565,10.202601995993291,SGP DCPA,16,,,,,,,,,,,Q2,,,,,,,
SGPvsSwans_final_20260711,1518.145958080555,16.104834635999396,SGP DCPA,17,,,,,,Circle Edge,YES,,,,"Q2, Q2, Q2, Q2",GA,Outer Right,SGP Goal,,,,
SGPvsSwans_final_20260711,1553.345199450563,23.60599975400214,SGP DCPA,18,,,,,,Outside Circle,YES,,,,"Q2, Q2, Q2",,,,,,,
SGPvsSwans_final_20260711,1694.9435443525526,25.90511653199451,SGP DCPA,19,,,,,,"Outside Circle, Circle Edge","YES, YES",,,,"Q2, Q2, Q2, Q2, Q2, Q2",GA,Inner Right,SGP Goal,,,,
SGPvsSwans_final_20260711,1736.2461853105588,13.098210845007088,SGP DCPA,20,,,,,,,,,,,Q2,,,,,,,
SGPvsSwans_final_20260711,1780.846237,11.598904547008715,SGP DCPA,21,,,,,,,,,,,Q2,,,,,,,
SGPvsSwans_final_20260711,1867.4461211295531,40.906320418005635,SGP DCPA,22,,,,,,"Circle Edge, Circle Edge","NO, YES",,,,"Q2, Q2, Q2, Q2, Q2, Q2, Q2, Q2","GS, GA","Inner Right, Inner Middle","SGP Miss, SGP Goal",,,,
SGPvsSwans_final_20260711,1927.3463932195527,22.705993335995117,SGP DCPA,23,,,,,,Circle Edge,YES,,,,"Q2, Q2, Q2, Q2, Q2",GS,Inner Left,SGP Goal,,,,
SGPvsSwans_final_20260711,2029.3472875685582,22.99762189300668,SGP DCPA,24,,,,,,Outside Circle,YES,,,,"Q2, Q2, Q2, Q2",GA,Outer Right,SGP Miss,,,,
SGPvsSwans_final_20260711,2097.543831310556,9.302687836007408,SGP DCPA,25,,,,,,,,,,,Q2,,,,,,,
SGPvsSwans_final_20260711,2537.447214128562,8.699895057,SGP DCPA,26,,,,,,,,,,,Q3,,,,,,,
SGPvsSwans_final_20260711,2678.046582957556,4.797149771997738,SGP DCPA,27,,,,,,,,,,,Q3,,,,,,,
SGPvsSwans_final_20260711,2739.651277761554,19.999105239010987,SGP DCPA,28,,,,,,Circle Edge,YES,,,,"Q3, Q3, Q3",GA,Inner Right,SGP Goal,,,,
SGPvsSwans_final_20260711,2786.7466751095662,11.199570884999957,SGP DCPA,29,,,,,,Circle Edge,NO,,,,"Q3, Q3",,,,,,,
SGPvsSwans_final_20260711,2856.952029832554,11.294528891995924,SGP DCPA,30,,,,,,,,,,,Q3,,,,,,,
SGPvsSwans_final_20260711,2904.950412062556,26.19664466199356,SGP DCPA,31,,,,,,"Circle Edge, Inside Circle","YES, YES",,,,"Q3, Q3, Q3, Q3, Q3",GS,Inner Right,SGP Miss,,,,
SGPvsSwans_final_20260711,3053.3489863715663,28.302074861991514,SGP DCPA,32,,,,,,"Circle Edge, Circle Edge","NO, YES",,,,"Q3, Q3, Q3, Q3, Q3, Q3",GS,Inner Middle,SGP Goal,,,,
SGPvsSwans_final_20260711,3096.4441651175516,7.801716799993756,SGP DCPA,33,,,,,,,,,,,Q3,,,,,,,
SGPvsSwans_final_20260711,3215.3468190975614,16.305336424987217,SGP DCPA,34,,,,,,,,,,,"Q3, Q3",,,,,,,
SGPvsSwans_final_20260711,3278.1457050555696,5.302042093,SGP DCPA,35,,,,,,,,,,,Q3,,,,,,,
SGPvsSwans_final_20260711,3314.740220285554,23.809495650006284,SGP DCPA,36,,,,,,,,,,,"Q3, Q3, Q3",GA,Outer Right,SGP Goal,,,,
SGPvsSwans_final_20260711,3365.3468584375614,18.196931537992896,SGP DCPA,37,,,,,,Circle Edge,YES,,,,"Q3, Q3, Q3",GS,Inner Left,SGP Miss,,,,
SGPvsSwans_final_20260711,3415.740862,14.305929090994596,SGP DCPA,38,,,,,,Circle Edge,YES,,,,"Q3, Q3, Q3",GA,Inner Left,SGP Miss,,,,
SGPvsSwans_final_20260711,3772.3465420725615,9.299880485986705,SGP DCPA,39,,,,,,,,,,,Q4,,,,,,,
SGPvsSwans_final_20260711,3906.146637607561,6.004318598003465,SGP DCPA,40,,,,,,,,,,,Q4,,,,,,,
SGPvsSwans_final_20260711,4147.946642922558,23.904680327996175,SGP DCPA,41,,,,,,"Circle Edge, Inside Circle","YES, YES",,,,"Q4, Q4, Q4, Q4, Q4",GA,Inner Left,SGP Goal,,,,
SGPvsSwans_final_20260711,4217.1466488905535,15.09978338700057,SGP DCPA,42,,,,,,,,,,,Q4,,,,,,,
SGPvsSwans_final_20260711,4308.75018,31.49451766299353,SGP DCPA,43,,,,,,"Circle Edge, Circle Edge","YES, YES",,,,"Q4, Q4, Q4, Q4, Q4, Q4, Q4",GS,Inner Left,SGP Goal,,,,
SGPvsSwans_final_20260711,4396.0470838135625,7.300221937995957,SGP DCPA,44,,,,,,,,,,,Q4,,,,,,,
SGPvsSwans_final_20260711,4494.647905795556,4.49934544,SGP DCPA,45,,,,,,,,,,,Q4,,,,,,,
SGPvsSwans_final_20260711,4554.346832624552,23.302319366998745,SGP DCPA,46,,,,,,Outside Circle,YES,,,,"Q4, Q4, Q4, Q4, Q4",GA,Outer Right,SGP Miss,,,,
SGPvsSwans_final_20260711,4614.744153770566,17.707481769994956,SGP DCPA,47,,,,,,Circle Edge,YES,,,,"Q4, Q4, Q4, Q4",GA,Outer Left,SGP Goal,,,,
SGPvsSwans_final_20260711,47.74722948056194,5.196656534989749,SGP Feed,1,,,,,,Outside Circle,YES,,,Toh Kai Wei,Q1,,,,,,,
SGPvsSwans_final_20260711,53.053499908558976,5.181549557,SGP Feed,2,,,,,,Circle Edge,YES,,,Anna Macinnes,Q1,,,,,,,
SGPvsSwans_final_20260711,54.64648917555905,5.20114887,SGP Feed,3,,,,,,Inside Circle,YES,,,Toh Kai Wei,Q1,,,,,,,
SGPvsSwans_final_20260711,59.32734444444445,5,SGP Feed,4,,,,,,Circle Edge,YES,,,Anna Macinnes,Q1,,,,,,,
SGPvsSwans_final_20260711,155.24215355755211,5.306016826001439,SGP Feed,5,,,,,,Circle Edge,NO,,,Rachel Ling,Q1,,,,,,,
SGPvsSwans_final_20260711,168.04408584756456,5.194597765991574,SGP Feed,6,,,,,,Outside Circle,YES,,,Rachel Ling,Q1,,,,,,,
SGPvsSwans_final_20260711,205.84593254856034,5.3032395679992135,SGP Feed,7,,,,,,Circle Edge,YES,,,Rachel Ling,Q1,,,,,,,
SGPvsSwans_final_20260711,210.14404132356142,5.192156153993949,SGP Feed,8,,,,,,Circle Edge,YES,,,Rachel Ling,Q1,,,,,,,
SGPvsSwans_final_20260711,216.04606514255428,5.127098976008995,SGP Feed,9,,,,,,Inside Circle,YES,,,Toh Kai Wei,Q1,,,,,,,
SGPvsSwans_final_20260711,288.5482903745555,5.196383094,SGP Feed,10,,,,,,Circle Edge,YES,,,Anna Macinnes,Q1,,,,,,,
SGPvsSwans_final_20260711,357.64805998055414,5.199904221000622,SGP Feed,11,,,,,,Circle Edge,YES,,,Rachel Ling,Q1,,,,,,,
SGPvsSwans_final_20260711,358.6124555555555,5,SGP Feed,12,,,,,,Inside Circle,YES,,,Charlotte Lee,Q1,,,,,,,
SGPvsSwans_final_20260711,362.5477255145527,5.2017169770003875,SGP Feed,13,,,,,,Circle Edge,YES,,,Toh Kai Wei,Q1,,,,,,,
SGPvsSwans_final_20260711,391.34699263856925,5.197599215,SGP Feed,14,,,,,,Outside Circle,YES,,,Toh Kai Wei,Q1,,,,,,,
SGPvsSwans_final_20260711,412.6427527545541,5.124499958008812,SGP Feed,15,,,,,,Circle Edge,YES,,,Charlotte Lee,Q1,,,,,,,
SGPvsSwans_final_20260711,415.14718423954844,5.300483244001498,SGP Feed,16,,,,,,Circle Edge,YES,,,Anna Macinnes,Q1,,,,,,,
SGPvsSwans_final_20260711,460.94542371556213,5.302021793006702,SGP Feed,17,,,,,,Outside Circle,NO,,,Anna Macinnes,Q1,,,,,,,
SGPvsSwans_final_20260711,477.54869907856136,5.198653865993549,SGP Feed,18,,,,,,Outside Circle,YES,,,Anna Macinnes,Q1,,,,,,,
SGPvsSwans_final_20260711,479.9503882925614,5.199125362998757,SGP Feed,19,,,,,,Inside Circle,YES,,,Charlotte Lee,Q1,,,,,,,
SGPvsSwans_final_20260711,518.8468213925602,5.1996880409997175,SGP Feed,20,,,,,,Outside Circle,YES,,,Rachel Ling,Q1,,,,,,,
SGPvsSwans_final_20260711,519.7265888888888,5,SGP Feed,21,,,,,,Inside Circle,NO,,,Toh Kai Wei,Q1,,,,,,,
SGPvsSwans_final_20260711,521.4800555555555,5,SGP Feed,22,,,,,,Circle Edge,YES,,,Anna Macinnes,Q1,,,,,,,
SGPvsSwans_final_20260711,547.2471669185528,5.300260218006088,SGP Feed,23,,,,,,Outside Circle,NO,,,Rachel Ling,Q1,,,,,,,
SGPvsSwans_final_20260711,613.0846,5,SGP Feed,24,,,,,,Outside Circle,YES,,,Charlotte Lee,Q1,,,,,,,
SGPvsSwans_final_20260711,618.6174,5,SGP Feed,25,,,,,,Circle Edge,YES,,,Rachel Ling,Q1,,,,,,,
SGPvsSwans_final_20260711,662.7481364665646,5.258137157996316,SGP Feed,26,,,,,,Outside Circle,YES,,,Rachel Ling,Q1,,,,,,,
SGPvsSwans_final_20260711,664.9468342115456,5.201977971012525,SGP Feed,27,,,,,,Circle Edge,YES,,,Anna Macinnes,Q1,,,,,,,
SGPvsSwans_final_20260711,680.4464117875601,6.001633592001099,SGP Feed,28,,,,,,Inside Circle,YES,,,Toh Kai Wei,Q1,,,,,,,
SGPvsSwans_final_20260711,698.4461169665652,5.308038158995146,SGP Feed,29,,,,,,Outside Circle,NO,,,Anna Macinnes,Q1,,,,,,,
SGPvsSwans_final_20260711,707.0459909535577,5.401511151997283,SGP Feed,30,,,,,,Circle Edge,NO,,,Toh Kai Wei,Q1,,,,,,,
SGPvsSwans_final_20260711,715.6471570995662,5.2998673179830575,SGP Feed,31,,,,,,Circle Edge,YES,,,Anna Macinnes,Q1,,,,,,,
SGPvsSwans_final_20260711,722.0402777777778,5,SGP Feed,32,,,,,,Outside Circle,YES,,,Rachel Ling,Q1,,,,,,,
SGPvsSwans_final_20260711,723.6495666666667,5,SGP Feed,33,,,,,,Inside Circle,YES,,,Charlotte Lee,Q1,,,,,,,
SGPvsSwans_final_20260711,782.2457748245636,5.1988304190014105,SGP Feed,34,,,,,,Circle Edge,YES,,,Anna Macinnes,Q1,,,,,,,
SGPvsSwans_final_20260711,785.3460511605541,5.400389350013597,SGP Feed,35,,,,,,Circle Edge,YES,,,Anna Macinnes,Q1,,,,,,,
